,AUD,CAD,CHF,EUR,GBP,ISK,JPY,MXN,NOK,NZD,SEK,TRY,USD
AUD,,0.9094,0.557654,0.5816,0.4892,84.95624304,94.9255,12.6695,6.7196,1.093339,6.387313,23.33484,0.63588
CAD,1.0993,,0.613235,0.638965,0.537795,93.40761776,104.4045,13.93185,7.38847,1.20226,7.0221,25.65982,0.699225
CHF,1.79308,1.630725,,1.041721,0.87711,151.699029,170.2021,22.71895,12.05184,1.960565,11.4528,41.84544,1.14025086
EUR,1.7212,1.5651,0.95995,,0.84168,145.9,163.39,21.80375,11.56304,1.8816,10.9941,40.15863,1.09457093
GBP,2.0445,1.85927,1.1402,1.187995,,173.0907,194.04,25.90545,13.7402,2.23522,13.0579,47.71247,1.3002
ISK,0.01181091829,0.01074173659,0.006592,0.0068540096,0.00577827,,1.121225777,0.149645392,0.07938833632,0.01291418634,0.07542694631,0.2756564338,0.00751089079
JPY,0.010534,0.009581,0.00587406,0.006126,0.005153,0.895029885,,0.1334696,0.070787,0.011516,0.067279,0.2458528,0.00669873126
MXN,0.07893,0.0717785,0.0440165,0.045864,0.038602,6.705828509,7.492349,,0.53049,0.086297,0.50407,1.84183,0.05019
NOK,0.148789,0.1353075,0.0829735,0.08645561,0.072797,12.64037333,14.12812,1.885075,,0.162675,0.95048,3.471954,0.094639
NZD,0.91468,0.83177,0.51005,0.53146,0.447315,77.70499853,86.8225,11.58795,6.14725,,5.841,21.34401,0.58159
SEK,0.156589,0.14244,0.0873225,0.090988,0.0765815,13.30097025,14.8642,1.98389,1.052426,0.171203,,3.653972,0.09957583
TRY,0.04285,0.038965,0.02390149,0.024905,0.020955,3.640389907,4.068,0.5429,0.288,0.046855,0.2737,,0.0272472882
USD,1.572636,1.43015481,0.877,0.9136,0.769112444,133.14,149.282,19.9242877,10.56976,1.71942434,10.0434,36.7009,